LapNumber,soft_compound,medium_compound,hard_compound,tyrelife,last_lap_delta,rolling_lt_avg,rolling_fastest_lap,faster_than_avg,new_fastest_lap,laptime
12,0,0,1,12,0.346,108.8032,108.007,1,0,108.432
13,0,0,1,13,-0.337,108.7694545,108.007,1,0,108.095
14,0,0,1,14,-0.833,108.71325,108.007,1,1,107.262
15,0,0,1,15,-0.38,108.6016154,107.262,1,1,106.882
16,0,0,1,16,-0.084,108.4787857,106.882,1,1,106.798
17,0,0,1,17,0.155,108.3667333,106.798,1,0,106.953
18,0,0,1,18,-0.201,108.278375,106.798,1,1,106.752
19,0,0,1,19,-0.015,108.1885882,106.752,1,1,106.737
20,0,0,1,20,-0.096,108.1079444,106.737,1,1,106.641
21,0,0,1,21,0.172,108.0307368,106.641,1,0,106.813
22,0,0,1,22,-0.202,107.96985,106.641,1,1,106.611
23,0,0,1,23,-0.029,107.9051429,106.611,1,1,106.582
24,0,0,1,24,-0.161,107.845,106.582,1,1,106.421
25,0,0,1,25,-0.125,107.783087,106.421,1,1,106.296
26,0,0,1,26,0.257,107.721125,106.296,1,0,106.553
27,0,0,1,27,-0.145,107.6744,106.296,1,0,106.408
28,0,0,1,28,-0.201,107.6256923,106.296,1,1,106.207
29,0,0,1,29,0.327,107.5731481,106.207,1,0,106.534
3,1,0,0,9,-1.537,110.071,110.071,1,1,108.534
4,1,0,0,10,0.464,109.3025,108.534,1,0,108.998
5,1,0,0,11,-0.856,109.201,108.534,1,1,108.142
6,1,0,0,12,0.553,108.93625,108.142,1,0,108.695
7,1,0,0,13,0.215,108.888,108.142,0,0,108.91
8,1,0,0,14,-0.572,108.8916667,108.142,1,0,108.338
9,1,0,0,15,3.038,108.8125714,108.142,0,0,111.376
10,0,0,1,1,13.943,109.133,108.142,0,0,125.319
11,0,0,1,2,-17.339,110.9314444,108.142,1,1,107.98
12,0,0,1,3,-0.551,110.6363,107.98,1,1,107.429
13,0,0,1,4,0.053,110.3447273,107.429,1,0,107.482
14,0,0,1,5,-0.21,110.1061667,107.429,1,1,107.272
15,0,0,1,6,-0.43,109.8881538,107.272,1,1,106.842
16,0,0,1,7,0.181,109.6705714,106.842,1,0,107.023
17,0,0,1,8,-0.102,109.4940667,106.842,1,0,106.921
18,0,0,1,9,-0.237,109.33325,106.842,1,1,106.684
19,0,0,1,10,0.168,109.1774118,106.684,1,0,106.852
20,0,0,1,11,0.099,109.0482222,106.684,1,0,106.951
21,0,0,1,12,-0.263,108.9378421,106.684,1,0,106.688
